id,client,status,host,ifd,start_time,progress
1,comp-001,Available,None,None,0,0
2,comp-002,Available,None,None,0,0
3,comp-003,Available,None,None,0,0
4,comp-004,Available,None,None,0,0
5,comp-005,Available,None,None,0,0
6,comp-006,Available,None,None,0,0
7,comp-007,Available,None,None,0,0
8,comp-008,Available,None,None,0,0
9,comp-009,Available,None,None,0,0
10,comp-010,Available,None,None,0,0
11,comp-011,Available,None,None,0,0
12,comp-cia,Available,None,None,0,0
13,comp-013,Available,None,None,0,0
14,comp-014,Available,None,None,0,0
15,comp-015,Available,None,None,0,0
16,comp-016,Available,None,None,0,0
17,comp-017,Available,None,None,0,0
18,comp-018,Available,None,None,0,0
19,comp-019,Available,None,None,0,0
20,comp-020,Available,None,None,0,0
21,comp-021,Available,None,None,0,0
22,comp-022,Available,None,None,0,0
23,comp-023,Available,None,None,0,0
24,comp-024,Available,None,None,0,0
25,demo-001,Available,None,None,0,0
26,demo-003,Available,None,None,0,0
27,FXTA-001,Available,None,None,0,0
28,FXTD-001,Available,None,None,0,0
29,FXTD-002,Available,None,None,0,0
30,FXTD-003,Available,None,None,0,0
31,FXTD-004,Available,None,None,0,0
32,FXTD-005,Available,None,None,0,0
33,FXTD-006,Available,None,None,0,0
34,FXTD-007,Available,None,None,0,0
35,FXTD-008,Available,None,None,0,0
36,FXTD-009,Available,None,None,0,0
37,FXTD-010,Available,None,None,0,0
38,FXTD-011,Available,None,None,0,0
39,FXTD-012,Available,None,None,0,0
40,FXTD-013,Available,None,None,0,0
41,FXTD-014,Available,None,None,0,0
42,lighting-001,Available,None,None,0,0
43,lighting-002,Available,None,None,0,0
44,lighting-003,Available,None,None,0,0
45,lighting-004,Available,None,None,0,0
46,lighting-005,Available,None,None,0,0
47,lighting-006,Available,None,None,0,0
48,lighting-007,Available,None,None,0,0
49,lighting-008,Available,None,None,0,0
50,lighting-009,Available,None,None,0,0
51,lighting-010,Available,None,None,0,0
52,lighting-011,Available,None,None,0,0
53,lighting-012,Available,None,None,0,0
54,staff-001,Available,None,None,0,0
